Test_ID,Date_Time,Load_Percent,Input_Voltage_V,Input_Current_A,Input_Power_kW,Output_Voltage_V,Output_Current_A,Output_Power_kW,Efficiency_Percent,Power_Factor,Temperature_C,Switching_Freq_Hz,Loss_kW,Remarks
E0026,2024-03-01 17:25:00,10,12515,4.2,52.4,477,105.1,50.5,96.29,0.981,34.2,10065,1.94,Light load test
E0027,2024-03-01 17:26:00,10,12513,4.3,53.9,476,108.6,52.1,96.66,0.989,35.3,9509,1.80,Light load test
E0028,2024-03-01 18:27:00,10,12470,4.2,52.5,482,105.6,50.7,96.56,1.027,34.4,10142,1.80,Light load test
E0029,2024-03-01 18:28:00,10,12440,4.3,54.0,478,108.3,52.0,96.32,0.973,33.6,9519,1.98,Light load test
E0030,2024-03-01 18:29:00,10,12498,4.2,52.6,481,106.0,50.9,96.75,0.992,33.8,10053,1.71,Light load test
E0031,2024-03-01 19:30:00,10,12465,4.2,52.2,475,105.1,50.4,96.63,0.978,39.2,9943,1.76,Light load test
E0032,2024-03-01 19:31:00,10,12438,4.2,52.3,476,105.0,50.4,96.32,0.992,35.3,10415,1.92,Light load test
E0033,2024-03-01 19:32:00,10,12423,4.3,54.0,485,108.5,52.1,96.50,0.950,36.6,10000,1.89,Light load test
E0034,2024-03-01 20:33:00,10,12477,4.2,52.9,485,106.2,51.0,96.40,0.962,36.4,9790,1.90,Light load test
E0035,2024-03-01 20:34:00,10,12472,4.2,52.5,482,105.2,50.5,96.17,0.992,38.7,9582,2.01,Light load test
E0036,2024-03-01 21:35:00,10,12452,4.2,52.8,481,106.0,50.9,96.29,1.022,36.3,10489,1.96,Light load test
E0037,2024-03-01 21:36:00,10,12470,4.3,53.6,477,107.9,51.8,96.71,0.966,36.5,10228,1.76,Light load test
E0038,2024-03-01 21:37:00,10,12439,4.2,52.7,479,106.3,51.0,96.78,0.954,33.9,9953,1.70,Light load test
E0039,2024-03-01 22:38:00,10,12518,4.3,53.1,483,107.2,51.4,96.84,1.018,37.5,9859,1.68,Light load test
E0040,2024-03-01 22:39:00,10,12514,4.3,53.7,483,107.9,51.8,96.47,0.951,35.9,10177,1.90,Light load test
E0041,2024-03-01 22:40:00,10,12490,4.3,53.4,481,107.2,51.4,96.31,0.967,32.3,10322,1.97,Light load test
E0042,2024-03-01 23:41:00,10,12499,4.2,52.6,483,106.2,51.0,96.81,0.980,38.2,10306,1.68,Light load test
E0043,2024-03-01 23:42:00,10,12422,4.3,53.9,481,108.3,52.0,96.41,0.976,36.5,10299,1.94,Light load test
E0044,2024-03-01 24:43:00,10,12431,4.3,53.8,478,107.9,51.8,96.35,0.953,39.0,10050,1.96,Light load test
E0045,2024-03-01 24:44:00,10,12508,4.3,53.7,476,107.9,51.8,96.39,1.027,32.6,9698,1.94,Light load test
E0046,2024-03-01 24:45:00,10,12429,4.3,53.0,485,106.7,51.2,96.60,0.988,39.7,10051,1.80,Light load test
E0047,2024-03-01 25:46:00,10,12484,4.3,53.9,478,108.4,52.1,96.66,1.017,35.2,9785,1.80,Light load test
E0048,2024-03-01 25:47:00,10,12438,4.3,53.5,477,107.5,51.6,96.45,1.022,32.9,9538,1.90,Light load test
E0049,2024-03-01 25:48:00,10,12481,4.3,53.8,484,108.4,52.0,96.78,0.986,35.8,10393,1.73,Light load test
E0050,2024-03-01 26:49:00,10,12493,4.3,53.2,478,107.2,51.4,96.73,1.002,36.7,9567,1.74,Light load test
E0051,2024-03-01 26:50:00,10,12493,4.2,52.2,478,105.0,50.4,96.49,1.016,34.0,10011,1.83,Light load test
E0052,2024-03-01 27:51:00,10,12503,4.2,53.0,478,106.2,51.0,96.18,0.964,32.1,10375,2.02,Light load test
E0053,2024-03-01 27:52:00,10,12480,4.2,52.2,481,104.6,50.2,96.22,0.979,36.8,9682,1.97,Light load test
E0054,2024-03-01 27:53:00,10,12438,4.3,53.3,476,107.1,51.4,96.48,1.017,35.1,10025,1.87,Light load test
E0055,2024-03-01 28:54:00,10,12454,4.3,53.2,483,106.6,51.2,96.18,0.966,36.9,10356,2.03,Light load test
E0056,2024-03-01 28:55:00,10,12444,4.2,52.4,481,105.3,50.6,96.54,0.991,37.3,10312,1.81,Light load test
E0057,2024-03-01 28:56:00,10,12428,4.2,52.9,479,106.6,51.2,96.73,0.993,35.2,9817,1.73,Light load test
E0058,2024-03-01 29:57:00,10,12429,4.3,53.3,479,107.5,51.6,96.86,0.974,35.4,9814,1.67,Light load test
E0059,2024-03-01 29:58:00,10,12442,4.2,52.0,476,104.3,50.1,96.24,0.968,38.0,9851,1.96,Light load test
E0060,2024-03-01 30:59:00,10,12455,4.2,52.4,481,105.7,50.7,96.87,0.952,37.2,10452,1.64,Light load test
E0061,2024-03-01 30:00:00,10,12481,4.2,52.6,480,105.8,50.8,96.63,1.025,33.9,10325,1.77,Light load test
E0062,2024-03-01 30:01:00,10,12461,4.3,53.4,480,107.5,51.6,96.67,1.001,38.4,9759,1.78,Light load test
E0063,2024-03-01 31:02:00,10,12445,4.2,52.1,476,104.5,50.2,96.26,1.006,35.9,9551,1.95,Light load test
E0064,2024-03-01 31:03:00,10,12448,4.2,52.3,476,105.4,50.6,96.70,0.994,33.2,10215,1.72,Light load test
E0065,2024-03-02 08:04:00,10,12470,4.2,52.6,478,105.8,50.8,96.59,1.000,35.0,10211,1.79,Light load test
E0066,2024-03-02 08:05:00,10,12512,4.2,52.7,479,106.2,51.0,96.83,0.987,35.7,9635,1.67,Light load test
E0067,2024-03-02 08:06:00,10,12512,4.2,52.8,481,105.9,50.9,96.22,0.977,35.6,9743,2.00,Light load test
E0068,2024-03-02 09:07:00,10,12458,4.2,52.2,477,104.8,50.3,96.31,0.994,34.5,10402,1.93,Light load test
E0069,2024-03-02 09:08:00,10,12448,4.3,53.9,482,108.1,51.9,96.32,0.978,39.1,10115,1.98,Light load test
E0070,2024-03-02 09:09:00,10,12518,4.3,53.4,482,107.0,51.4,96.12,1.007,33.9,10121,2.07,Light load test
E0071,2024-03-02 10:10:00,10,12500,4.3,54.0,483,108.9,52.3,96.83,0.978,39.9,10258,1.71,Light load test
E0072,2024-03-02 10:11:00,10,12520,4.3,53.9,481,108.7,52.2,96.84,0.973,37.6,10476,1.70,Light load test
E0073,2024-03-02 10:12:00,10,12487,4.2,52.5,477,105.6,50.7,96.46,0.957,40.0,10210,1.86,Light load test
E0074,2024-03-02 11:13:00,10,12440,4.3,53.5,477,107.7,51.7,96.66,1.006,32.8,9823,1.79,Light load test
E0075,2024-03-02 11:14:00,10,12453,4.3,53.7,475,108.2,51.9,96.73,0.965,39.7,9815,1.76,Light load test
E0076,2024-03-02 12:15:00,10,12498,4.3,53.4,479,107.7,51.7,96.78,0.973,38.5,10296,1.72,Light load test
E0077,2024-03-02 12:16:00,10,12427,4.3,53.6,484,107.4,51.5,96.24,0.961,39.4,10473,2.01,Light load test
E0078,2024-03-02 12:17:00,10,12490,4.3,53.6,477,107.6,51.7,96.38,1.024,34.0,10485,1.94,Light load test
E0079,2024-03-02 13:18:00,10,12472,4.2,52.6,482,105.4,50.6,96.12,1.021,34.9,10270,2.04,Light load test
E0080,2024-03-02 13:19:00,10,12466,4.2,52.4,481,105.4,50.6,96.57,1.026,38.8,9760,1.80,Light load test
E0081,2024-03-02 13:20:00,10,12420,4.2,52.1,482,105.1,50.4,96.71,0.967,39.8,9509,1.72,Light load test
E0082,2024-03-02 14:21:00,10,12457,4.2,52.1,479,104.4,50.1,96.22,1.025,38.7,9874,1.97,Light load test
E0083,2024-03-02 14:22:00,10,12459,4.2,52.2,477,104.8,50.3,96.40,0.976,33.1,9878,1.88,Light load test
E0084,2024-03-02 15:23:00,10,12494,4.3,53.7,485,107.7,51.7,96.30,0.994,38.7,9512,1.99,Light load test
E0085,2024-03-02 15:24:00,10,12439,4.2,52.3,475,105.6,50.7,96.83,1.001,39.8,10125,1.66,Light load test
E0086,2024-03-02 15:25:00,10,12470,4.3,53.0,478,106.2,51.0,96.13,1.029,32.3,9988,2.05,Light load test
E0087,2024-03-02 16:26:00,10,12452,4.2,52.7,481,105.7,50.7,96.33,0.982,35.7,10402,1.94,Light load test
E0088,2024-03-02 16:27:00,10,12467,4.3,53.6,482,108.0,51.8,96.80,1.000,34.9,9760,1.71,Light load test
E0089,2024-03-02 16:28:00,10,12463,4.2,52.7,483,106.1,50.9,96.55,0.982,32.0,10163,1.82,Light load test
E0090,2024-03-02 17:29:00,10,12505,4.2,53.0,483,106.6,51.1,96.56,1.017,39.4,9700,1.82,Light load test
E0091,2024-03-02 17:30:00,10,12421,4.2,52.1,480,105.0,50.4,96.68,0.960,37.2,9562,1.73,Light load test
E0092,2024-03-02 18:31:00,10,12427,4.2,52.1,484,104.4,50.1,96.10,1.024,37.6,9609,2.03,Light load test
E0093,2024-03-02 18:32:00,10,12429,4.3,53.1,482,106.7,51.2,96.50,1.010,39.0,9847,1.86,Light load test
E0094,2024-03-02 18:33:00,10,12517,4.3,53.3,481,107.4,51.6,96.65,1.016,39.1,10201,1.79,Light load test
E0095,2024-03-02 19:34:00,10,12463,4.2,52.4,476,105.6,50.7,96.72,0.953,33.8,9641,1.72,Light load test
E0096,2024-03-02 19:35:00,10,12457,4.3,53.2,482,106.7,51.2,96.24,0.988,39.2,10042,2.00,Light load test
E0097,2024-03-02 19:36:00,10,12449,4.2,52.1,484,104.4,50.1,96.19,0.987,35.4,10301,1.99,Light load test
E0098,2024-03-02 20:37:00,10,12492,4.2,52.5,476,105.3,50.5,96.22,0.973,32.9,9795,1.99,Light load test
E0099,2024-03-02 20:38:00,10,12444,4.3,53.6,480,107.8,51.7,96.51,0.998,32.1,10375,1.87,Light load test
E0100,2024-03-02 21:39:00,10,12517,4.2,52.3,477,105.6,50.7,96.89,0.958,34.5,10093,1.63,Light load test
E0101,2024-03-02 21:40:00,10,12476,4.2,52.1,479,104.8,50.3,96.62,0.961,37.1,9913,1.76,Light load test
E0102,2024-03-02 21:41:00,10,12496,4.3,53.2,480,106.5,51.1,96.17,1.000,39.9,10371,2.04,Light load test
E0103,2024-03-02 22:42:00,10,12497,4.2,52.9,480,106.7,51.2,96.78,1.026,32.7,9942,1.70,Light load test
E0104,2024-03-02 22:43:00,10,12426,4.2,52.1,477,105.1,50.4,96.86,0.961,39.2,10414,1.63,Light load test
E0105,2024-03-02 22:44:00,10,12437,4.3,53.4,476,107.0,51.4,96.15,0.981,39.4,10310,2.06,Light load test
E0106,2024-03-02 23:45:00,10,12494,4.2,52.9,485,106.1,50.9,96.19,1.006,32.8,10233,2.02,Light load test
E0107,2024-03-02 23:46:00,10,12426,4.3,53.7,485,108.3,52.0,96.84,1.005,36.3,9740,1.70,Light load test
E0108,2024-03-02 24:47:00,10,12458,4.2,52.5,480,105.9,50.8,96.81,0.983,36.2,10210,1.67,Light load test
E0109,2024-03-02 24:48:00,10,12459,4.2,52.4,477,105.6,50.7,96.75,0.978,36.9,9893,1.70,Light load test
E0110,2024-03-02 24:49:00,10,12463,4.2,52.6,479,105.9,50.8,96.67,0.969,33.5,10064,1.75,Light load test
E0111,2024-03-02 25:50:00,10,12515,4.2,52.0,484,104.7,50.2,96.60,0.958,36.3,9866,1.77,Light load test
E0112,2024-03-02 25:51:00,10,12490,4.3,53.8,481,108.3,52.0,96.60,1.013,37.1,10386,1.83,Light load test
E0113,2024-03-02 25:52:00,10,12489,4.2,52.7,480,106.4,51.1,96.84,1.019,39.1,10062,1.67,Light load test
E0114,2024-03-02 26:53:00,10,12473,4.2,52.6,485,105.4,50.6,96.19,0.958,33.2,9967,2.00,Light load test
E0115,2024-03-02 26:54:00,10,12445,4.2,52.4,485,105.4,50.6,96.42,0.985,37.7,9518,1.88,Light load test
E0116,2024-03-02 27:55:00,10,12476,4.2,52.8,483,106.0,50.9,96.34,1.017,34.8,9613,1.93,Light load test
E0117,2024-03-02 27:56:00,10,12507,4.3,53.8,485,108.0,51.9,96.40,1.008,37.8,9918,1.93,Light load test
E0118,2024-03-02 27:57:00,10,12479,4.2,52.9,482,106.7,51.2,96.83,0.971,35.3,9967,1.68,Light load test
E0119,2024-03-02 28:58:00,10,12426,4.3,53.5,482,107.8,51.8,96.69,0.995,35.5,10115,1.77,Light load test
E0120,2024-03-02 28:59:00,10,12483,4.3,53.9,475,108.6,52.1,96.63,0.965,36.8,10016,1.82,Light load test
E0121,2024-03-02 28:00:00,10,12455,4.3,53.7,480,107.9,51.8,96.47,0.975,36.2,10088,1.90,Light load test
E0122,2024-03-02 29:01:00,10,12483,4.2,52.9,480,105.9,50.8,96.12,1.009,34.4,9895,2.05,Light load test
E0123,2024-03-02 29:02:00,10,12515,4.2,52.4,477,105.2,50.5,96.33,1.000,35.9,10285,1.92,Light load test
E0124,2024-03-02 30:03:00,10,12488,4.3,53.1,481,106.8,51.3,96.56,1.025,35.9,10288,1.83,Light load test
E0125,2024-03-02 30:04:00,10,12500,4.2,52.3,479,104.7,50.3,96.15,0.985,35.0,10343,2.01,Light load test
E0126,2024-03-02 30:05:00,10,12463,4.2,52.4,481,105.2,50.5,96.43,0.974,33.0,10002,1.87,Light load test
E0127,2024-03-02 31:06:00,10,12491,4.3,53.6,477,107.8,51.7,96.60,0.971,36.9,9514,1.82,Light load test
E0128,2024-03-02 31:07:00,10,12514,4.3,53.5,475,107.2,51.4,96.16,0.991,36.3,10095,2.05,Light load test
E0129,2024-03-03 08:08:00,10,12454,4.3,53.0,481,106.3,51.0,96.21,1.007,34.1,9858,2.01,Light load test
E0130,2024-03-03 08:09:00,10,12425,4.2,52.5,484,105.6,50.7,96.54,0.964,36.9,10467,1.82,Light load test
E0131,2024-03-03 08:10:00,10,12424,4.3,53.3,478,107.0,51.3,96.35,0.999,35.6,10453,1.94,Light load test
E0132,2024-03-03 09:11:00,10,12460,4.3,53.8,477,108.3,52.0,96.57,0.990,34.5,9584,1.85,Light load test
E0133,2024-03-03 09:12:00,10,12475,4.3,53.3,482,107.1,51.4,96.38,0.985,37.7,10022,1.93,Light load test
E0134,2024-03-03 09:13:00,10,12503,4.2,52.2,480,104.7,50.3,96.37,0.973,32.7,9885,1.89,Light load test
E0135,2024-03-03 10:14:00,10,12516,4.2,52.5,477,105.4,50.6,96.39,0.992,37.1,10271,1.89,Light load test
E0136,2024-03-03 10:15:00,10,12453,4.3,53.3,477,107.3,51.5,96.66,1.007,32.3,9715,1.78,Light load test
E0137,2024-03-03 10:16:00,10,12517,4.2,52.3,478,105.2,50.5,96.66,0.954,39.3,9563,1.74,Light load test
E0138,2024-03-03 11:17:00,10,12503,4.3,53.4,482,107.5,51.6,96.70,1.023,36.0,10482,1.76,Light load test
E0139,2024-03-03 11:18:00,10,12487,4.3,53.2,476,107.1,51.4,96.56,1.004,35.4,9741,1.83,Light load test
E0140,2024-03-03 12:19:00,10,12471,4.2,52.7,476,105.7,50.7,96.28,0.988,33.3,9979,1.96,Light load test
E0141,2024-03-03 12:20:00,10,12445,4.3,53.8,480,108.3,52.0,96.67,1.020,37.4,10238,1.79,Light load test
E0142,2024-03-03 12:21:00,10,12473,4.3,53.4,481,107.4,51.6,96.50,1.015,32.8,9852,1.87,Light load test
E0143,2024-03-03 13:22:00,10,12463,4.3,53.1,480,107.0,51.4,96.81,1.024,35.0,10004,1.69,Light load test
E0144,2024-03-03 13:23:00,10,12453,4.3,53.9,482,108.3,52.0,96.35,1.013,39.1,10018,1.97,Light load test
E0145,2024-03-03 13:24:00,10,12478,4.2,52.8,482,106.0,50.9,96.42,1.001,34.4,10149,1.89,Light load test
E0146,2024-03-03 14:25:00,10,12509,4.2,52.2,480,104.6,50.2,96.20,0.985,38.3,10076,1.98,Light load test
E0147,2024-03-03 14:26:00,10,12480,4.3,53.5,478,107.4,51.6,96.40,0.977,36.0,10439,1.93,Light load test
E0148,2024-03-03 15:27:00,10,12504,4.2,52.8,483,106.1,50.9,96.45,1.023,38.6,10018,1.88,Light load test
E0149,2024-03-03 15:28:00,10,12420,4.3,53.3,482,107.5,51.6,96.81,1.009,35.6,9941,1.70,Light load test
E0150,2024-03-03 15:29:00,10,12493,4.2,52.4,485,105.3,50.5,96.44,0.956,34.4,9621,1.87,Light load test
E0151,2024-03-03 16:30:00,10,12449,4.3,53.1,480,107.0,51.4,96.62,0.988,35.4,10289,1.79,Light load test
E0152,2024-03-03 16:31:00,10,12482,4.2,52.1,479,105.0,50.4,96.77,1.005,38.0,10263,1.68,Light load test
E0153,2024-03-03 16:32:00,10,12515,4.3,53.1,482,106.7,51.2,96.51,0.986,34.5,9893,1.86,Light load test
E0154,2024-03-03 17:33:00,10,12432,4.2,52.9,484,106.4,51.1,96.61,0.963,36.8,10441,1.79,Light load test
E0155,2024-03-03 17:34:00,10,12505,4.3,53.8,484,108.3,52.0,96.58,1.025,36.8,10429,1.84,Light load test
E0156,2024-03-03 18:35:00,10,12482,4.3,53.4,475,107.0,51.3,96.23,0.964,37.0,10356,2.01,Light load test
E0157,2024-03-03 18:36:00,10,12456,4.3,53.9,483,108.0,51.9,96.28,0.971,39.2,9636,2.01,Light load test
E0158,2024-03-03 18:37:00,10,12516,4.2,52.7,481,105.7,50.8,96.25,0.984,35.9,9702,1.98,Light load test
E0159,2024-03-03 19:38:00,10,12448,4.3,53.6,476,107.5,51.6,96.15,0.960,38.5,9596,2.07,Light load test
E0160,2024-03-03 19:39:00,10,12431,4.2,52.9,480,106.2,51.0,96.28,1.015,39.0,9662,1.97,Light load test
E0161,2024-03-03 19:40:00,20,12480,8.5,105.6,477,211.5,101.5,96.13,1.021,39.6,9700,4.09,Light load test
E0162,2024-03-03 20:41:00,20,12471,8.4,105.1,479,211.9,101.7,96.73,1.007,41.9,10230,3.44,Light load test
E0163,2024-03-03 20:42:00,20,12509,8.5,105.9,477,213.7,102.6,96.90,0.989,44.5,10002,3.29,Light load test
E0164,2024-03-03 21:43:00,20,12494,8.5,105.9,478,212.5,102.0,96.31,0.992,40.5,9587,3.91,Light load test
E0165,2024-03-03 21:44:00,20,12481,8.5,105.6,481,211.6,101.6,96.14,0.994,46.9,9548,4.08,Light load test
E0166,2024-03-03 21:45:00,20,12472,8.5,105.9,475,212.3,101.9,96.21,0.980,45.9,9776,4.01,Light load test
E0167,2024-03-03 22:46:00,20,12497,8.5,105.7,475,213.3,102.4,96.87,0.989,40.9,9601,3.30,Light load test
E0168,2024-03-03 22:47:00,20,12422,8.4,105.2,476,212.1,101.8,96.79,0.953,42.8,9537,3.38,Light load test
E0169,2024-03-03 22:48:00,20,12476,8.5,105.4,480,212.0,101.8,96.57,1.027,43.5,9926,3.61,Light load test
E0170,2024-03-03 23:49:00,20,12506,8.4,104.4,478,209.5,100.6,96.28,0.956,46.4,10042,3.88,Light load test
E0171,2024-03-03 23:50:00,20,12502,8.4,104.9,477,210.6,101.1,96.37,0.991,43.7,10280,3.80,Light load test
E0172,2024-03-03 24:51:00,20,12472,8.4,104.7,477,209.9,100.7,96.23,0.979,43.7,9999,3.94,Light load test
E0173,2024-03-03 24:52:00,20,12512,8.4,104.4,481,210.7,101.1,96.88,0.985,44.7,9595,3.25,Light load test
E0174,2024-03-03 24:53:00,20,12490,8.4,104.4,476,210.1,100.9,96.62,0.956,43.6,10246,3.53,Light load test
E0175,2024-03-03 25:54:00,20,12486,8.3,104.1,484,208.5,100.1,96.12,0.968,39.4,10476,4.04,Light load test
E0176,2024-03-03 25:55:00,20,12474,8.4,104.7,478,209.6,100.6,96.10,0.991,39.4,10304,4.08,Light load test
E0177,2024-03-03 25:56:00,20,12474,8.4,104.6,484,210.0,100.8,96.31,0.964,39.8,9622,3.86,Light load test
E0178,2024-03-03 26:57:00,20,12445,8.5,105.7,481,212.2,101.9,96.35,0.985,47.0,10258,3.86,Light load test
E0179,2024-03-03 26:58:00,20,12472,8.4,105.3,479,211.9,101.7,96.58,1.017,44.7,9656,3.61,Light load test
E0180,2024-03-03 27:59:00,20,12452,8.4,104.6,478,209.9,100.8,96.38,1.012,41.0,9970,3.79,Light load test
E0181,2024-03-03 27:00:00,20,12506,8.4,105.2,478,210.8,101.2,96.16,1.021,44.7,9600,4.04,Light load test
E0182,2024-03-03 27:01:00,20,12495,8.4,105.2,478,212.4,102.0,96.89,0.974,41.6,10006,3.27,Light load test
E0183,2024-03-03 28:02:00,20,12445,8.5,105.5,476,212.9,102.2,96.85,0.982,41.2,10364,3.32,Light load test
E0184,2024-03-03 28:03:00,20,12440,8.5,105.9,481,213.0,102.2,96.51,0.983,45.5,10293,3.69,Light load test
E0185,2024-03-03 28:04:00,20,12465,8.5,105.6,485,211.5,101.5,96.11,1.024,42.1,10388,4.11,Light load test
E0186,2024-03-03 29:05:00,20,12467,8.3,104.1,483,209.7,100.7,96.71,0.966,41.7,9921,3.42,Light load test
E0187,2024-03-03 29:06:00,20,12471,8.4,104.8,477,210.1,100.9,96.26,0.970,41.7,9752,3.91,Light load test
E0188,2024-03-03 30:07:00,20,12423,8.4,104.8,483,210.3,100.9,96.31,1.029,44.6,9716,3.87,Light load test
E0189,2024-03-03 30:08:00,20,12515,8.4,104.4,479,210.6,101.1,96.83,0.956,45.1,9655,3.31,Light load test
E0190,2024-03-03 30:09:00,20,12506,8.3,104.0,485,209.7,100.6,96.73,0.971,45.9,10050,3.40,Light load test
E0191,2024-03-03 31:10:00,20,12468,8.4,104.7,476,210.5,101.0,96.51,1.003,44.6,9954,3.66,Light load test
E0192,2024-03-03 31:11:00,20,12457,8.4,104.4,478,210.4,101.0,96.74,0.950,45.8,9793,3.40,Light load test
E0193,2024-03-04 08:12:00,20,12476,8.4,104.5,482,210.7,101.1,96.78,1.021,44.6,9985,3.36,Light load test
E0194,2024-03-04 08:13:00,20,12470,8.4,105.3,479,211.7,101.6,96.49,1.001,46.7,9932,3.70,Light load test
E0195,2024-03-04 08:14:00,20,12483,8.4,105.3,482,211.2,101.4,96.26,0.955,39.2,10435,3.94,Light load test
E0196,2024-03-04 09:15:00,20,12482,8.5,105.5,482,212.2,101.9,96.54,0.964,46.4,9561,3.65,Light load test
E0197,2024-03-04 09:16:00,20,12435,8.4,104.5,481,210.5,101.0,96.65,0.956,45.4,10360,3.50,Light load test
E0198,2024-03-04 09:17:00,20,12467,8.4,104.8,482,210.0,100.8,96.14,0.971,46.4,9739,4.05,Light load test
E0199,2024-03-04 10:18:00,20,12507,8.4,104.3,480,209.2,100.4,96.29,0.976,40.5,10255,3.87,Light load test
E0200,2024-03-04 10:19:00,20,12511,8.5,106.0,483,213.4,102.4,96.68,0.981,41.6,9734,3.52,Light load test
E0201,2024-03-04 10:20:00,20,12480,8.4,104.3,478,209.6,100.6,96.43,1.009,44.8,9707,3.73,Light load test
E0202,2024-03-04 11:21:00,20,12475,8.5,105.6,483,212.3,101.9,96.50,0.994,43.0,10213,3.69,Light load test
E0203,2024-03-04 11:22:00,20,12478,8.5,105.9,483,213.7,102.6,96.86,0.971,44.2,10295,3.32,Light load test
E0204,2024-03-04 12:23:00,20,12442,8.4,104.2,482,208.7,100.2,96.13,1.012,45.7,10176,4.03,Light load test
E0205,2024-03-04 12:24:00,20,12502,8.4,104.7,479,211.0,101.3,96.76,1.023,39.6,9601,3.40,Light load test
E0206,2024-03-04 12:25:00,20,12425,8.5,105.5,479,212.5,102.0,96.63,0.983,45.9,10262,3.56,Light load test
E0207,2024-03-04 13:26:00,20,12447,8.5,105.9,476,213.8,102.6,96.89,0.959,43.8,9746,3.30,Light load test
E0208,2024-03-04 13:27:00,20,12476,8.5,105.9,476,212.4,101.9,96.25,1.020,43.8,9752,3.97,Light load test
E0209,2024-03-04 13:28:00,20,12430,8.4,104.1,477,208.7,100.2,96.21,1.003,45.2,9726,3.95,Light load test
E0210,2024-03-04 14:29:00,20,12434,8.3,104.0,476,209.9,100.7,96.84,0.986,40.3,9859,3.29,Light load test
E0211,2024-03-04 14:30:00,20,12489,8.5,105.8,476,212.4,102.0,96.36,1.014,42.5,9955,3.85,Light load test
E0212,2024-03-04 15:31:00,20,12477,8.4,104.3,485,209.9,100.8,96.64,1.009,45.9,9512,3.51,Light load test
E0213,2024-03-04 15:32:00,20,12510,8.4,105.2,480,211.9,101.7,96.69,1.027,39.3,10123,3.48,Light load test
E0214,2024-03-04 15:33:00,20,12431,8.5,105.5,483,212.5,102.0,96.72,1.012,43.5,10234,3.46,Light load test
